hospital_name,canonical_name,official_feature_name,official_unit,official_reference,official_group_zh
,age,age,—,—,基础信息
,ID,ID,—,—,基础信息
,sample_name,sample_name,—,—,基础信息
,sex,sex,—,—,基础信息
,exam_year,exam_year,—,—,基础信息
,体质指数,bmi,kg/m^2,—,脂肪/肥胖
,腰围,waist_circumference,cm,<=90,脂肪/肥胖
,SBP,systolic_bp,mmHg,—,血流动力学
,DBP,diastolic_bp,mmHg,—,血流动力学
,脉搏,pulse,次/分,—,血流动力学
,白细胞计数,white_blood_cell_count,10^9/L,3.5--9.5,免疫/炎症
,中性粒细胞百分比,neutrophil_percentage,%,40--75,免疫/炎症
,中性粒细胞计数,neutrophil_count,10^9/L,1.8--6.3,免疫/炎症
,单核细胞百分比,monocyte_percentage,%,3--10,免疫/炎症
,单核细胞计数,monocyte_count,10^9/L,0.1--0.6,免疫/炎症
,嗜酸性粒细胞百分比,eosinophil_percentage,%,0.4--8,免疫/炎症
,嗜酸性粒细胞计数,eosinophil_count,10^9/L,0.02--0.52,免疫/炎症
,嗜碱性粒细胞百分比,basophil_percentage,%,0--1,免疫/炎症
,嗜碱性粒细胞计数,basophil_count,10^9/L,0--0.06,免疫/炎症
,淋巴细胞百分比,lymphocyte_percentage,%,20--50,免疫/炎症
,淋巴细胞计数,lymphocyte_count,10^9/L,1.1--3.2,免疫/炎症
,血红蛋白浓度,hemoglobin,g/L,130--175,红细胞指标
,红细胞平均体积,mean_corpuscular_volume,fL,82--100,红细胞指标
,红细胞计数,red_blood_cell_count,10^12/L,4.3-5.8,红细胞指标
,平均红细胞血红蛋白含量,mean_corpuscular_hemoglobin,pg,27--34,红细胞指标
,平均红细胞血红蛋白浓度,mean_corpuscular_hemoglobin_concentration,g/L,316--354,红细胞指标
,红细胞压积,hematocrit,%,40-50,红细胞指标
,红细胞体积分布宽度,red_cell_distribution_width,%,0-14,红细胞指标
,血小板计数,platelet_count,10^9/L,125--350,止血/凝血
,白细胞[尿],urine_white_blood_cells,/μL,0--13,尿沉渣
,尿酸碱度,urine_ph,—,4.5--8,尿液化学
,上皮细胞[尿],urine_epithelial_cells,/μL,0--8,尿沉渣
,细菌,urine_bacteria,/μL,0--43,尿沉渣
,红细胞,urine_red_blood_cells,/μL,0--18,尿沉渣
,谷丙转氨酶,alanine_aminotransferase,U/L,9--50,肝胆功能
,谷草转氨酶,aspartate_aminotransferase,U/L,15--40,肝胆功能
,总胆红素,total_bilirubin,μmol/L,≤26,肝胆功能
,直接胆红素,direct_bilirubin,μmol/L,≤8,肝胆功能
,总蛋白,total_protein,g/L,65--85,肝合成功能
,白蛋白,albumin,g/L,40--55,肝合成功能
,球蛋白,globulin,g/L,20--40,肝合成功能
,γ-谷氨酰转移酶,gamma_glutamyl_transferase,U/L,10--60,肝胆功能
,碱性磷酸酶,alkaline_phosphatase,U/L,45--125,肝胆功能
,尿素,urea,mmol/L,3.6--9.5,肾功能
,肌酐,creatinine,μmol/L,57--111,肾功能
,总胆固醇,total_cholesterol,mmol/L,3--5.7,脂质代谢
,甘油三酯,triglycerides,mmol/L,≤1.7,脂质代谢
,L-胆固醇,ldl_cholesterol,mmol/L,<3.4,脂质代谢
,H-胆固醇,hdl_cholesterol,mmol/L,0.94-2,脂质代谢
,葡萄糖,glucose,mmol/L,3.9--6.1,糖代谢
,糖化血红蛋白,glycated_hemoglobin,%,4--6.1,糖代谢
,尿酸,uric_acid,μmol/L,208--428,嘌呤代谢
